Time,Pressure,PPGSignal,BL_W20_T2.50_D5_C2,BL_W40_T2.50_D5_C2,BL_W60_T2.50_D5_C2,BL_W65_T2.50_D5_C2,BL_W70_T2.50_D5_C2,BL_W60_T3.00_D5_C2,BL_W65_T3.50_D5_C2,BL_W75_T2.50_D5_C2
19723,24.08,-15,0,0,0,0,0,0,0,0
19759,26.98,-10,0,0,0,0,0,0,0,0
19795,29.88,-6,0,0,0,0,0,0,0,0
19831,32.33,-3,0,0,0,0,0,0,0,0
19867,33.57,-3,0,0,0,0,0,0,0,0
19903,34.13,-1,0,0,0,0,0,0,0,0
19939,33.33,9,0,0,0,0,0,0,0,0
19975,31.73,29,0,0,0,0,0,0,0,0
20011,30.84,46,0,0,0,0,0,0,0,0
20047,30.22,49,0,0,0,0,0,0,0,0
20083,29.78,39,0,0,0,0,0,0,0,0
20119,29.21,24,0,0,0,0,0,0,0,0
20155,29.09,12,0,0,0,0,0,0,0,0
20191,28.71,5,0,0,0,0,0,0,0,0
20227,28.51,2,0,0,0,0,0,0,0,0
20263,28.38,0,0,0,0,0,0,0,0,0
20299,28.08,-1,0,0,0,0,0,0,0,0
20335,27.86,-4,0,0,0,0,0,0,0,0
20371,27.72,-8,0,0,0,0,0,0,0,0
20407,27.63,-14,0,0,0,0,0,0,0,0
20443,30.34,-19,0,0,0,0,0,0,0,0
20479,34.14,-22,0,0,0,0,0,0,0,0
20515,37.62,-22,0,0,0,0,0,0,0,0
20551,41.11,-21,0,0,0,0,0,0,0,0
20587,44.49,-16,0,0,0,0,0,0,0,0
20623,47.34,-6,0,0,0,0,0,0,0,0
20659,49.14,1,0,0,0,0,0,0,0,0
20695,49.39,4,0,0,0,0,0,0,0,0
20731,47.63,2,0,0,0,0,0,0,0,0
20767,46.35,-5,0,0,0,0,0,0,0,0
20803,45.53,-13,0,0,0,0,0,0,0,0
20839,45.00,-18,0,0,0,0,0,0,0,0
20875,44.73,-19,0,0,0,0,0,0,0,0
20911,44.62,-17,0,0,0,0,0,0,0,0
20947,44.39,-13,0,0,0,0,0,0,0,0
20983,44.02,-7,0,0,0,0,0,0,0,0
21019,43.50,4,0,0,0,0,0,0,0,0
21055,43.12,24,0,0,0,0,0,0,0,0
21091,42.93,43,0,0,0,0,0,0,0,0
21127,42.67,47,0,0,0,0,0,0,0,0
21163,42.55,37,0,0,0,0,0,0,0,0
21199,45.40,21,0,0,0,0,0,0,0,0
21235,50.78,9,0,0,0,0,0,0,0,0
21271,55.66,5,0,0,0,0,0,0,0,0
21307,59.99,6,0,0,0,0,0,0,0,0
21343,64.32,7,0,0,0,0,0,0,0,0
21379,67.58,7,0,0,0,0,0,0,0,0
21415,68.84,4,0,0,0,0,0,0,0,0
21451,67.25,0,0,0,0,0,0,0,0,0
21487,65.94,-6,0,0,0,0,0,0,0,0
21523,65.07,-11,0,0,0,0,0,0,0,0
21559,64.50,-13,0,0,0,0,0,0,0,0
21595,63.98,-13,0,0,0,0,0,0,0,0
21631,63.52,-12,0,0,0,0,0,0,0,0
21667,63.12,-11,0,0,0,0,0,0,0,0
21703,62.67,-11,0,0,0,0,0,0,0,0
21739,62.33,-12,0,0,0,0,0,0,0,0
21775,62.04,-13,0,0,0,0,0,0,0,0
21811,61.85,-13,0,0,0,0,0,0,0,0
21847,62.12,-14,0,0,0,0,0,0,0,0
21883,62.18,-14,0,0,0,0,0,0,0,0
21919,65.76,-12,0,0,0,0,0,0,0,0
21955,71.28,-2,0,0,0,0,0,0,0,0
21991,76.29,18,0,0,0,0,0,0,0,0
22027,81.41,42,0,0,0,0,0,0,0,0
