Timestamp,PPG,Pressure,Systolic
1762819482.330078,1725.0,0.02,0.0
1762819482.379591,1735.0,-0.02,0.0
1762819482.47957,1758.0,0.0,0.0
1762819482.5295238,1762.0,0.03,0.0
1762819482.580304,1964.0,0.02,0.0
1762819482.6296058,2295.0,-0.01,0.0
1762819482.68013,2430.0,-0.04,0.0
1762819482.7294369,2274.0,0.07,0.0
1762819482.779552,2003.0,0.03,0.0
1762819482.8799639,1963.0,-0.03,0.0
1762819482.9295769,1998.0,0.03,0.0
1762819482.979765,1944.0,-0.04,0.0
1762819483.029697,1823.0,0.06,0.0
1762819483.0794408,1729.0,0.05,0.0
1762819483.129317,1742.0,0.06,0.0
1762819483.1799161,1789.0,0.05,0.0
1762819483.279925,1795.0,0.02,0.0
1762819483.330004,1787.0,0.03,0.0
1762819483.379754,2049.0,0.11,0.0
1762819483.4295402,2367.0,0.1,0.0
1762819483.479181,2475.0,0.03,0.0
1762819483.530197,2279.0,-0.01,0.0
1762819483.578976,2045.0,0.04,0.0
1762819483.679551,2016.0,-0.0,0.0
1762819483.729556,1989.0,0.07,0.0
1762819483.779401,1913.0,-0.03,0.0
1762819483.83016,1808.0,0.06,0.0
1762819483.879471,1740.0,0.0,0.0
1762819483.929385,1741.0,0.03,0.0
1762819483.979676,1766.0,-0.05,0.0
1762819484.029191,1763.0,1.71,0.0
1762819484.12951,1735.0,5.76,0.0
1762819484.179998,1914.0,9.56,0.0
1762819484.230036,2289.0,11.47,0.0
1762819484.279558,2471.0,11.16,0.0
1762819484.329474,2316.0,10.21,0.0
1762819484.379474,2001.0,9.67,0.0
1762819484.4294431,1936.0,9.42,0.0
1762819484.529438,1989.0,9.21,0.0
1762819484.5791008,1961.0,9.0,0.0
1762819484.6294458,1854.0,8.88,0.0
1762819484.679465,1763.0,8.71,0.0
1762819484.72944,1757.0,8.54,0.0
1762819484.7787268,1775.0,14.19,0.0
1762819484.8288288,1767.0,20.31,0.0
1762819484.9294238,1863.0,22.47,0.0
1762819484.979533,2189.0,20.81,0.0
1762819485.0295649,2400.0,19.48,0.0
1762819485.079394,2325.0,18.82,0.0
1762819485.12943,2028.0,18.24,0.0
1762819485.1793191,1915.0,17.99,0.0
