Time,Pressure,PPGSignal,BL_W40_T2.5_D10_C2,BL_W60_T2.5_D10_C2,BL_W40_T3.0_D10_C2,BL_W40_T2.0_D10_C2,BL_W40_T2.5_D15_C2,BL_W40_T2.5_D5_C2,BL_W40_T2.5_D10_C3,BL_W40_T2.5_D10_C1,BL_W20_T2.5_D10_C2,BL_W80_T2.5_D10_C2,DRV_W5_T20,DRV_W10_T20,DRV_W5_T30,DRV_W5_T10,THR_100,THR_150,THR_200,ENS_3of5
451251,-0.21,3025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451287,-0.26,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451323,-0.28,3019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451359,-0.28,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451395,-0.31,3008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451431,-0.26,3005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451467,-0.21,3018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451503,-0.31,3010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451539,-0.21,3005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451575,-0.27,3022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451611,-0.20,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451647,-0.27,2996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451683,-0.31,3037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451719,-0.25,3038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451755,-0.16,3028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451791,-0.24,3026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451827,-0.25,3008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451863,-0.17,3015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451899,-0.25,3020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451935,-0.20,3021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451971,-0.20,3007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452007,-0.25,2987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452043,-0.17,2994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452079,-0.25,3040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452115,-0.23,3035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452151,-0.30,3018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452187,-0.27,3011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452223,-0.20,3043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452259,-0.31,3018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452295,-0.24,3011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452331,-0.23,3011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452367,-0.25,3010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452403,-0.21,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452439,-0.30,3009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452475,-0.22,2996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452511,-0.26,3014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452547,-0.28,3025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452583,-0.23,3023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452619,-0.31,3019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452655,-0.35,3025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452691,-0.30,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452727,-0.35,3010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452763,-0.30,3008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452799,-0.25,3009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452835,-0.27,3006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452871,-0.20,3028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452907,-0.24,3030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452943,-0.24,3030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452979,-0.20,3025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453015,-0.24,3013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453051,-0.27,2987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453087,-0.28,3011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453123,-0.22,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453159,-0.22,3029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453195,-0.27,3023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453231,-0.21,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453267,-0.25,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453303,-0.30,3005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453339,-0.22,2998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453375,-0.23,3002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453411,-0.29,3021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
