Timestamp,PPG,Pressure,Systolic
1762639170.613089,1941.0,0.02,0.0
1762639170.661706,1913.0,0.03,0.0
1762639170.711691,1925.0,-0.01,0.0
1762639170.761573,1956.0,-0.03,0.0
1762639170.8115861,1974.0,-0.02,0.0
1762639170.861579,1968.0,-0.0,0.0
1762639170.9617438,1958.0,-0.02,0.0
1762639171.0117161,1951.0,-0.01,0.0
1762639171.0617468,1951.0,-0.01,0.0
1762639171.1112719,1961.0,-0.07,0.0
1762639171.161624,1969.0,0.04,0.0
1762639171.211582,1963.0,-0.01,0.0
1762639171.261579,1969.0,-0.06,0.0
1762639171.3616168,1999.0,-0.03,0.0
1762639171.411733,2005.0,0.0,0.0
1762639171.461975,1975.0,-0.04,0.0
1762639171.511965,1919.0,-0.12,0.0
1762639171.5618072,1894.0,-0.01,0.0
1762639171.6118422,1899.0,-0.01,0.0
1762639171.6617851,1915.0,0.05,0.0
1762639171.761772,1930.0,-0.02,0.0
1762639171.81183,1946.0,-0.06,0.0
1762639171.86185,1961.0,-0.09,0.0
1762639171.911904,1963.0,-0.03,0.0
1762639171.961911,1948.0,0.01,0.0
1762639172.011992,1938.0,-0.07,0.0
1762639172.061978,1947.0,0.0,0.0
1762639172.16157,1961.0,-0.02,0.0
1762639172.2118971,1963.0,-0.09,0.0
1762639172.2632651,1959.0,-0.03,0.0
1762639172.3133922,1949.0,-0.07,0.0
1762639172.3635352,1931.0,-0.02,0.0
1762639172.411655,1907.0,-0.04,0.0
1762639172.461715,1891.0,-0.05,0.0
1762639172.511717,1886.0,-0.12,0.0
1762639172.611545,1889.0,-0.07,0.0
1762639172.661532,1898.0,-0.08,0.0
1762639172.711479,1916.0,0.03,0.0
1762639172.761556,1944.0,0.05,0.0
1762639172.811539,1965.0,0.04,0.0
1762639172.8615181,1972.0,-0.04,0.0
1762639172.911521,1962.0,0.01,0.0
1762639173.011568,1937.0,-0.06,0.0
1762639173.061621,1920.0,-0.02,0.0
1762639173.11158,1920.0,0.01,0.0
1762639173.1616,1931.0,-0.04,0.0
1762639173.211543,1936.0,-0.05,0.0
1762639173.261612,1926.0,-0.05,0.0
1762639173.3115761,1931.0,-0.08,0.0
1762639173.4115388,1947.0,-0.03,0.0
1762639173.461191,1966.0,-0.07,0.0
1762639173.511633,1962.0,0.01,0.0
1762639173.561824,1937.0,-0.08,0.0
1762639173.611248,1923.0,-0.03,0.0
1762639173.6627991,1934.0,-0.1,0.0
1762639173.713433,1952.0,-0.06,0.0
1762639173.811239,1957.0,0.05,0.0
1762639173.861237,1945.0,0.07,0.0
1762639173.911268,1936.0,0.08,0.0
1762639173.9611158,1927.0,-0.04,0.0
1762639174.011416,1921.0,0.03,0.0
1762639174.061609,1925.0,0.0,0.0
1762639174.1117811,1936.0,0.01,0.0
1762639174.211832,1937.0,0.04,0.0
1762639174.261795,1922.0,0.03,0.0
1762639174.311873,1919.0,-0.03,0.0
1762639174.363029,1957.0,-0.05,0.0
1762639174.414058,1989.0,-0.05,0.0
1762639174.463497,1972.0,0.06,0.0
1762639174.511934,1925.0,0.01,0.0
1762639174.563761,1902.0,-0.02,0.0
1762639174.6627898,1905.0,-0.01,0.0
1762639174.713442,1888.0,0.07,0.0
1762639174.7615428,1887.0,-0.03,0.0
1762639174.813229,1911.0,-0.1,0.0
1762639174.863254,1958.0,0.02,0.0
1762639174.912995,1977.0,0.08,0.0
1762639174.962843,1963.0,0.02,0.0
1762639175.063933,1959.0,-0.08,0.0
1762639175.1111171,1968.0,-0.07,0.0
1762639175.163512,1982.0,-0.07,0.0
1762639175.211616,1972.0,0.11,0.0
1762639175.261559,1937.0,0.02,0.0
1762639175.311548,1913.0,0.1,0.0
1762639175.36162,1906.0,-0.03,0.0
1762639175.461658,1911.0,-0.01,0.0
1762639175.5116282,1931.0,0.09,0.0
1762639175.561585,1991.0,0.08,0.0
1762639175.611548,2041.0,0.07,0.0
1762639175.661619,2041.0,0.06,0.0
1762639175.7116249,2000.0,0.1,0.0
1762639175.7619042,1959.0,0.03,0.0
1762639175.8615239,1931.0,0.05,0.0
1762639175.911513,1899.0,0.12,0.0
1762639175.9615219,1879.0,0.08,0.0
1762639176.0115352,1880.0,0.15,0.0
1762639176.0614789,1896.0,0.1,0.0
1762639176.111018,1916.0,0.05,0.0
1762639176.16357,1937.0,0.08,0.0
1762639176.263075,1943.0,0.12,0.0
1762639176.311784,1948.0,0.16,0.0
1762639176.361381,1960.0,0.13,0.0
1762639176.4117079,1976.0,0.11,0.0
1762639176.4613829,1963.0,0.07,0.0
1762639176.511195,1925.0,0.0,0.0
1762639176.561891,1900.0,0.03,0.0
1762639176.6609678,1915.0,0.07,0.0
1762639176.710269,1948.0,0.08,0.0
1762639176.761157,1960.0,0.13,0.0
1762639176.8108869,1949.0,0.03,0.0
1762639176.861894,1934.0,0.1,0.0
1762639176.91199,1893.0,0.01,0.0
1762639176.961938,1861.0,0.12,0.0
1762639177.061898,1862.0,0.08,0.0
1762639177.111967,1898.0,0.15,0.0
1762639177.161176,1928.0,0.05,0.0
1762639177.211328,1936.0,0.06,0.0
1762639177.260992,1928.0,0.04,0.0
1762639177.311032,1919.0,0.06,0.0
1762639177.361165,1906.0,0.09,0.0
1762639177.46072,1916.0,0.08,0.0
1762639177.510838,1925.0,0.14,0.0
1762639177.560965,1940.0,0.1,0.0
1762639177.611434,1955.0,0.01,0.0
1762639177.661578,1958.0,0.08,0.0
1762639177.711649,1948.0,0.1,0.0
1762639177.760911,1940.0,0.13,0.0
1762639177.861066,1948.0,0.1,0.0
1762639177.911246,1952.0,0.17,0.0
1762639177.9609568,1929.0,0.1,0.0
1762639178.010714,1905.0,0.12,0.0
1762639178.0607018,1903.0,0.1,0.0
1762639178.110875,1915.0,0.05,0.0
1762639178.1612601,1920.0,0.16,0.0
1762639178.211225,1900.0,0.16,0.0
1762639178.311212,1898.0,0.06,0.0
1762639178.3612092,1920.0,0.06,0.0
1762639178.4113002,1959.0,0.03,0.0
1762639178.461067,1982.0,-0.0,0.0
1762639178.511225,1978.0,0.16,0.0
1762639178.561193,1953.0,0.15,0.0
1762639178.6111941,1929.0,0.05,0.0
1762639178.711175,1928.0,0.0,0.0
1762639178.761133,1941.0,0.06,0.0
1762639178.8116128,1950.0,0.01,0.0
1762639178.8619342,1948.0,0.12,0.0
1762639178.911212,1953.0,0.14,0.0
1762639178.961469,1945.0,0.05,0.0
1762639179.011842,1939.0,0.01,0.0
1762639179.11325,1940.0,0.05,0.0
1762639179.163871,1955.0,0.05,0.0
1762639179.212924,1959.0,0.05,0.0
1762639179.2633011,1949.0,0.09,0.0
1762639179.3135612,1941.0,0.13,0.0
1762639179.363563,1939.0,0.06,0.0
1762639179.4136162,1930.0,0.05,0.0
1762639179.511487,1922.0,0.12,0.0
1762639179.563495,1928.0,0.03,0.0
1762639179.613665,1934.0,0.07,0.0
1762639179.6621492,1935.0,0.13,0.0
1762639179.712309,1924.0,0.06,0.0
1762639179.763492,1915.0,0.1,0.0
1762639179.814192,1908.0,-0.0,0.0
1762639179.9141152,1903.0,0.2,0.0
1762639179.962038,1913.0,0.05,0.0
1762639180.0139499,1933.0,0.13,0.0
1762639180.063343,1942.0,0.07,0.0
1762639180.113039,1927.0,0.0,0.0
1762639180.161591,1909.0,0.02,0.0
1762639180.2118342,1916.0,0.05,0.0
1762639180.3118541,1946.0,0.02,0.0
