Time,Pressure,PPGSignal,BL_W20_T2.5_D10_C2,BL_W40_T2.5_D10_C2,BL_W60_T2.5_D10_C2,BL_W80_T2.5_D10_C2
22011,-0.19,-97,0,0,0,0
22047,-0.21,-89,0,0,0,0
22083,-0.23,-76,0,0,0,0
22119,-0.05,-71,0,0,0,0
22155,-0.19,-74,0,0,0,0
22191,-0.13,-84,0,0,0,0
22227,-0.13,-90,0,0,0,0
22263,-0.17,-84,0,0,0,0
22299,-0.20,-73,0,0,0,0
22335,-0.13,-68,0,0,0,0
22371,-0.13,-72,0,0,0,0
22407,-0.17,-77,0,0,0,0
